sample,query,result,results_dir
data/marine/IRL_metagenomes/mock_8M_HAB_metagenome.fq.gz,data/marine/BGC/Cylindrospermopsis_raciborskii_T3_BCG_saxitoxin_GenBank_DQ787200v1.fna,1,outputs.sourmash.exksb1as/results.1.1
data/marine/IRL_metagenomes/mock_8M_HAB_metagenome.fq.gz,data/marine/BGC/Dolichospermum_circinale_AWQC131C_saxitoxin_BGC_GenBank_DQ787201v1.fna,1,outputs.sourmash.exksb1as/results.1.2
data/marine/IRL_metagenomes/mock_8M_HAB_metagenome.fq.gz,data/marine/BGC/Microcystis_aeruginosa_PCC_7806_microcystin_BGC_GenBank_AF183408v1.fna,1,outputs.sourmash.exksb1as/results.1.3
data/marine/IRL_metagenomes/mock_8M_HAB_metagenome.fq.gz,data/marine/BGC/Plima_partLSU.fasta,0,outputs.sourmash.exksb1as/results.1.4
data/marine/IRL_metagenomes/mock_8M_HAB_metagenome.fq.gz,data/marine/BGC/Pseudo-nitzschia_multiseries_isolate_15091C3_domoic_acid_BGC_GenBank_MH202990v1.fna,0,outputs.sourmash.exksb1as/results.1.5
data/marine/IRL_metagenomes/pp_CCHH-01_20180823.fq.gz,data/marine/BGC/Cylindrospermopsis_raciborskii_T3_BCG_saxitoxin_GenBank_DQ787200v1.fna,0,outputs.sourmash.exksb1as/results.2.1
data/marine/IRL_metagenomes/pp_CCHH-01_20180823.fq.gz,data/marine/BGC/Dolichospermum_circinale_AWQC131C_saxitoxin_BGC_GenBank_DQ787201v1.fna,0,outputs.sourmash.exksb1as/results.2.2
data/marine/IRL_metagenomes/pp_CCHH-01_20180823.fq.gz,data/marine/BGC/Microcystis_aeruginosa_PCC_7806_microcystin_BGC_GenBank_AF183408v1.fna,1,outputs.sourmash.exksb1as/results.2.3
data/marine/IRL_metagenomes/pp_CCHH-01_20180823.fq.gz,data/marine/BGC/Plima_partLSU.fasta,0,outputs.sourmash.exksb1as/results.2.4
data/marine/IRL_metagenomes/pp_CCHH-01_20180823.fq.gz,data/marine/BGC/Pseudo-nitzschia_multiseries_isolate_15091C3_domoic_acid_BGC_GenBank_MH202990v1.fna,0,outputs.sourmash.exksb1as/results.2.5
data/marine/IRL_metagenomes/pp_CCHH-01_20190318.fq.gz,data/marine/BGC/Cylindrospermopsis_raciborskii_T3_BCG_saxitoxin_GenBank_DQ787200v1.fna,0,outputs.sourmash.exksb1as/results.3.1
data/marine/IRL_metagenomes/pp_CCHH-01_20190318.fq.gz,data/marine/BGC/Dolichospermum_circinale_AWQC131C_saxitoxin_BGC_GenBank_DQ787201v1.fna,0,outputs.sourmash.exksb1as/results.3.2
data/marine/IRL_metagenomes/pp_CCHH-01_20190318.fq.gz,data/marine/BGC/Microcystis_aeruginosa_PCC_7806_microcystin_BGC_GenBank_AF183408v1.fna,0,outputs.sourmash.exksb1as/results.3.3
data/marine/IRL_metagenomes/pp_CCHH-01_20190318.fq.gz,data/marine/BGC/Plima_partLSU.fasta,0,outputs.sourmash.exksb1as/results.3.4
data/marine/IRL_metagenomes/pp_CCHH-01_20190318.fq.gz,data/marine/BGC/Pseudo-nitzschia_multiseries_isolate_15091C3_domoic_acid_BGC_GenBank_MH202990v1.fna,0,outputs.sourmash.exksb1as/results.3.5
data/marine/IRL_metagenomes/pp_CCHH-01_20191015.fq.gz,data/marine/BGC/Cylindrospermopsis_raciborskii_T3_BCG_saxitoxin_GenBank_DQ787200v1.fna,0,outputs.sourmash.exksb1as/results.4.1
data/marine/IRL_metagenomes/pp_CCHH-01_20191015.fq.gz,data/marine/BGC/Dolichospermum_circinale_AWQC131C_saxitoxin_BGC_GenBank_DQ787201v1.fna,0,outputs.sourmash.exksb1as/results.4.2
data/marine/IRL_metagenomes/pp_CCHH-01_20191015.fq.gz,data/marine/BGC/Microcystis_aeruginosa_PCC_7806_microcystin_BGC_GenBank_AF183408v1.fna,0,outputs.sourmash.exksb1as/results.4.3
data/marine/IRL_metagenomes/pp_CCHH-01_20191015.fq.gz,data/marine/BGC/Plima_partLSU.fasta,0,outputs.sourmash.exksb1as/results.4.4
