name,length,filename
SRR11826866.18,76,SRR11826866/SRR11826866.18.fq
SRR11826866.23,76,SRR11826866/SRR11826866.23.fq
SRR11826866.47,71,SRR11826866/SRR11826866.47.fq
SRR11826866.56,76,SRR11826866/SRR11826866.56.fq
SRR11826866.95,76,SRR11826866/SRR11826866.95.fq
SRR11826866.150,76,SRR11826866/SRR11826866.150.fq
SRR11826866.168,76,SRR11826866/SRR11826866.168.fq
SRR11826866.175,76,SRR11826866/SRR11826866.175.fq
SRR11826866.187,76,SRR11826866/SRR11826866.187.fq
SRR11826866.204,76,SRR11826866/SRR11826866.204.fq
SRR11826866.210,75,SRR11826866/SRR11826866.210.fq
SRR11826866.235,76,SRR11826866/SRR11826866.235.fq
SRR11826866.244,75,SRR11826866/SRR11826866.244.fq
SRR11826866.284,76,SRR11826866/SRR11826866.284.fq
SRR11826866.287,76,SRR11826866/SRR11826866.287.fq
SRR11826866.388,76,SRR11826866/SRR11826866.388.fq
SRR11826866.454,76,SRR11826866/SRR11826866.454.fq
SRR11826866.456,76,SRR11826866/SRR11826866.456.fq
SRR11826866.465,75,SRR11826866/SRR11826866.465.fq
SRR11826866.527,76,SRR11826866/SRR11826866.527.fq
SRR11826866.570,75,SRR11826866/SRR11826866.570.fq
SRR11826866.617,76,SRR11826866/SRR11826866.617.fq
SRR11826866.618,76,SRR11826866/SRR11826866.618.fq
SRR11826866.750,76,SRR11826866/SRR11826866.750.fq
SRR11826866.763,76,SRR11826866/SRR11826866.763.fq
SRR11826866.785,75,SRR11826866/SRR11826866.785.fq
SRR11826866.793,76,SRR11826866/SRR11826866.793.fq
SRR11826866.797,76,SRR11826866/SRR11826866.797.fq
SRR11826866.830,76,SRR11826866/SRR11826866.830.fq
SRR11826866.886,76,SRR11826866/SRR11826866.886.fq
SRR11826866.899,76,SRR11826866/SRR11826866.899.fq
SRR11826866.936,74,SRR11826866/SRR11826866.936.fq
SRR11826866.1034,75,SRR11826866/SRR11826866.1034.fq
SRR11826866.1072,76,SRR11826866/SRR11826866.1072.fq
SRR11826866.1084,75,SRR11826866/SRR11826866.1084.fq
SRR11826866.1102,75,SRR11826866/SRR11826866.1102.fq
SRR11826866.1112,75,SRR11826866/SRR11826866.1112.fq
SRR11826866.1137,76,SRR11826866/SRR11826866.1137.fq
SRR11826866.1217,74,SRR11826866/SRR11826866.1217.fq
SRR11826866.1242,76,SRR11826866/SRR11826866.1242.fq
SRR11826866.1273,55,SRR11826866/SRR11826866.1273.fq
SRR11826866.1286,76,SRR11826866/SRR11826866.1286.fq
SRR11826866.1296,74,SRR11826866/SRR11826866.1296.fq
SRR11826866.1330,76,SRR11826866/SRR11826866.1330.fq
SRR11826866.1413,75,SRR11826866/SRR11826866.1413.fq
SRR11826866.1418,76,SRR11826866/SRR11826866.1418.fq
SRR11826866.1437,74,SRR11826866/SRR11826866.1437.fq
SRR11826866.1456,75,SRR11826866/SRR11826866.1456.fq
SRR11826866.1470,76,SRR11826866/SRR11826866.1470.fq
SRR11826866.1580,76,SRR11826866/SRR11826866.1580.fq
SRR11826866.1583,74,SRR11826866/SRR11826866.1583.fq
SRR11826866.1589,76,SRR11826866/SRR11826866.1589.fq
SRR11826866.1618,76,SRR11826866/SRR11826866.1618.fq
SRR11826866.1656,72,SRR11826866/SRR11826866.1656.fq
SRR11826866.1698,76,SRR11826866/SRR11826866.1698.fq
SRR11826866.1757,76,SRR11826866/SRR11826866.1757.fq
SRR11826866.1780,76,SRR11826866/SRR11826866.1780.fq
SRR11826866.1810,75,SRR11826866/SRR11826866.1810.fq
SRR11826866.1834,76,SRR11826866/SRR11826866.1834.fq
SRR11826866.1842,75,SRR11826866/SRR11826866.1842.fq
SRR11826866.1854,76,SRR11826866/SRR11826866.1854.fq
SRR11826866.1897,76,SRR11826866/SRR11826866.1897.fq
SRR11826866.1937,75,SRR11826866/SRR11826866.1937.fq
SRR11826866.1949,76,SRR11826866/SRR11826866.1949.fq
SRR11826866.1959,75,SRR11826866/SRR11826866.1959.fq
SRR11826866.2036,76,SRR11826866/SRR11826866.2036.fq
SRR11826866.2040,76,SRR11826866/SRR11826866.2040.fq
SRR11826866.2097,76,SRR11826866/SRR11826866.2097.fq
SRR11826866.2116,76,SRR11826866/SRR11826866.2116.fq
SRR11826866.2122,75,SRR11826866/SRR11826866.2122.fq
SRR11826866.2128,76,SRR11826866/SRR11826866.2128.fq
SRR11826866.2239,75,SRR11826866/SRR11826866.2239.fq
SRR11826866.2300,75,SRR11826866/SRR11826866.2300.fq
SRR11826866.2335,75,SRR11826866/SRR11826866.2335.fq
SRR11826866.2338,76,SRR11826866/SRR11826866.2338.fq
SRR11826866.2367,72,SRR11826866/SRR11826866.2367.fq
SRR11826866.2385,76,SRR11826866/SRR11826866.2385.fq
SRR11826866.2404,76,SRR11826866/SRR11826866.2404.fq
SRR11826866.2425,76,SRR11826866/SRR11826866.2425.fq
SRR11826866.2438,75,SRR11826866/SRR11826866.2438.fq
SRR11826866.2449,76,SRR11826866/SRR11826866.2449.fq
SRR11826866.2481,76,SRR11826866/SRR11826866.2481.fq
SRR11826866.2516,73,SRR11826866/SRR11826866.2516.fq
SRR11826866.2540,76,SRR11826866/SRR11826866.2540.fq
SRR11826866.2579,76,SRR11826866/SRR11826866.2579.fq
SRR11826866.2599,76,SRR11826866/SRR11826866.2599.fq
SRR11826866.2670,71,SRR11826866/SRR11826866.2670.fq
SRR11826866.2694,75,SRR11826866/SRR11826866.2694.fq
SRR11826866.2699,76,SRR11826866/SRR11826866.2699.fq
SRR11826866.2730,76,SRR11826866/SRR11826866.2730.fq
SRR11826866.2746,76,SRR11826866/SRR11826866.2746.fq
SRR11826866.2803,76,SRR11826866/SRR11826866.2803.fq
SRR11826866.2898,73,SRR11826866/SRR11826866.2898.fq
SRR11826866.2933,76,SRR11826866/SRR11826866.2933.fq
SRR11826866.2975,73,SRR11826866/SRR11826866.2975.fq
SRR11826866.3007,76,SRR11826866/SRR11826866.3007.fq
SRR11826866.3015,76,SRR11826866/SRR11826866.3015.fq
SRR11826866.3029,75,SRR11826866/SRR11826866.3029.fq
SRR11826866.3038,76,SRR11826866/SRR11826866.3038.fq
SRR11826866.3040,76,SRR11826866/SRR11826866.3040.fq
SRR11826866.3049,76,SRR11826866/SRR11826866.3049.fq
SRR11826866.3050,76,SRR11826866/SRR11826866.3050.fq
SRR11826866.3053,76,SRR11826866/SRR11826866.3053.fq
SRR11826866.3080,76,SRR11826866/SRR11826866.3080.fq
SRR11826866.3113,76,SRR11826866/SRR11826866.3113.fq
SRR11826866.3124,76,SRR11826866/SRR11826866.3124.fq
SRR11826866.3146,76,SRR11826866/SRR11826866.3146.fq
SRR11826866.3162,76,SRR11826866/SRR11826866.3162.fq
SRR11826866.3184,76,SRR11826866/SRR11826866.3184.fq
SRR11826866.3189,75,SRR11826866/SRR11826866.3189.fq
SRR11826866.3201,76,SRR11826866/SRR11826866.3201.fq
SRR11826866.3202,76,SRR11826866/SRR11826866.3202.fq
SRR11826866.3294,76,SRR11826866/SRR11826866.3294.fq
SRR11826866.3304,76,SRR11826866/SRR11826866.3304.fq
SRR11826866.3329,76,SRR11826866/SRR11826866.3329.fq
SRR11826866.3337,76,SRR11826866/SRR11826866.3337.fq
SRR11826866.3367,76,SRR11826866/SRR11826866.3367.fq
SRR11826866.3368,76,SRR11826866/SRR11826866.3368.fq
SRR11826866.3373,68,SRR11826866/SRR11826866.3373.fq
SRR11826866.3375,76,SRR11826866/SRR11826866.3375.fq
SRR11826866.3433,76,SRR11826866/SRR11826866.3433.fq
SRR11826866.3437,75,SRR11826866/SRR11826866.3437.fq
SRR11826866.3452,75,SRR11826866/SRR11826866.3452.fq
SRR11826866.3459,75,SRR11826866/SRR11826866.3459.fq
SRR11826866.3481,76,SRR11826866/SRR11826866.3481.fq
SRR11826866.3510,76,SRR11826866/SRR11826866.3510.fq
SRR11826866.3544,74,SRR11826866/SRR11826866.3544.fq
SRR11826866.3582,75,SRR11826866/SRR11826866.3582.fq
SRR11826866.3595,76,SRR11826866/SRR11826866.3595.fq
SRR11826866.3669,69,SRR11826866/SRR11826866.3669.fq
SRR11826866.3672,76,SRR11826866/SRR11826866.3672.fq
SRR11826866.3710,74,SRR11826866/SRR11826866.3710.fq
SRR11826866.3726,75,SRR11826866/SRR11826866.3726.fq
SRR11826866.3736,76,SRR11826866/SRR11826866.3736.fq
SRR11826866.3737,76,SRR11826866/SRR11826866.3737.fq
SRR11826866.3740,75,SRR11826866/SRR11826866.3740.fq
SRR11826866.3855,76,SRR11826866/SRR11826866.3855.fq
SRR11826866.3861,76,SRR11826866/SRR11826866.3861.fq
SRR11826866.3872,75,SRR11826866/SRR11826866.3872.fq
SRR11826866.3905,76,SRR11826866/SRR11826866.3905.fq
SRR11826866.3993,76,SRR11826866/SRR11826866.3993.fq
SRR11826866.3995,75,SRR11826866/SRR11826866.3995.fq
SRR11826866.4035,75,SRR11826866/SRR11826866.4035.fq
SRR11826866.4045,76,SRR11826866/SRR11826866.4045.fq
SRR11826866.4049,76,SRR11826866/SRR11826866.4049.fq
SRR11826866.4100,76,SRR11826866/SRR11826866.4100.fq
SRR11826866.4154,75,SRR11826866/SRR11826866.4154.fq
SRR11826866.4169,76,SRR11826866/SRR11826866.4169.fq
SRR11826866.4174,76,SRR11826866/SRR11826866.4174.fq
SRR11826866.4262,76,SRR11826866/SRR11826866.4262.fq
SRR11826866.4336,76,SRR11826866/SRR11826866.4336.fq
SRR11826866.4356,76,SRR11826866/SRR11826866.4356.fq
SRR11826866.4371,76,SRR11826866/SRR11826866.4371.fq
SRR11826866.4405,76,SRR11826866/SRR11826866.4405.fq
SRR11826866.4437,76,SRR11826866/SRR11826866.4437.fq
SRR11826866.4448,76,SRR11826866/SRR11826866.4448.fq
SRR11826866.4451,75,SRR11826866/SRR11826866.4451.fq
SRR11826866.4466,74,SRR11826866/SRR11826866.4466.fq
SRR11826866.4530,76,SRR11826866/SRR11826866.4530.fq
SRR11826866.4556,76,SRR11826866/SRR11826866.4556.fq
SRR11826866.4563,74,SRR11826866/SRR11826866.4563.fq
SRR11826866.4573,76,SRR11826866/SRR11826866.4573.fq
SRR11826866.4600,75,SRR11826866/SRR11826866.4600.fq
SRR11826866.4603,76,SRR11826866/SRR11826866.4603.fq
SRR11826866.4652,76,SRR11826866/SRR11826866.4652.fq
SRR11826866.4666,76,SRR11826866/SRR11826866.4666.fq
SRR11826866.4693,76,SRR11826866/SRR11826866.4693.fq
SRR11826866.4758,75,SRR11826866/SRR11826866.4758.fq
SRR11826866.4815,76,SRR11826866/SRR11826866.4815.fq
SRR11826866.4822,76,SRR11826866/SRR11826866.4822.fq
SRR11826866.4853,74,SRR11826866/SRR11826866.4853.fq
SRR11826866.4894,75,SRR11826866/SRR11826866.4894.fq
SRR11826866.4901,74,SRR11826866/SRR11826866.4901.fq
SRR11826866.4917,76,SRR11826866/SRR11826866.4917.fq
SRR11826866.4923,68,SRR11826866/SRR11826866.4923.fq
SRR11826866.4930,76,SRR11826866/SRR11826866.4930.fq
SRR11826866.4949,75,SRR11826866/SRR11826866.4949.fq
SRR11826866.5025,72,SRR11826866/SRR11826866.5025.fq
SRR11826866.5137,74,SRR11826866/SRR11826866.5137.fq
SRR11826866.5185,75,SRR11826866/SRR11826866.5185.fq
SRR11826866.5209,75,SRR11826866/SRR11826866.5209.fq
SRR11826866.5241,75,SRR11826866/SRR11826866.5241.fq
SRR11826866.5254,64,SRR11826866/SRR11826866.5254.fq
SRR11826866.5306,76,SRR11826866/SRR11826866.5306.fq
SRR11826866.5309,76,SRR11826866/SRR11826866.5309.fq
SRR11826866.5312,76,SRR11826866/SRR11826866.5312.fq
SRR11826866.5337,76,SRR11826866/SRR11826866.5337.fq
SRR11826866.5389,76,SRR11826866/SRR11826866.5389.fq
SRR11826866.5395,76,SRR11826866/SRR11826866.5395.fq
SRR11826866.5456,76,SRR11826866/SRR11826866.5456.fq
SRR11826866.5495,75,SRR11826866/SRR11826866.5495.fq
SRR11826866.5514,76,SRR11826866/SRR11826866.5514.fq
SRR11826866.5555,76,SRR11826866/SRR11826866.5555.fq
SRR11826866.5562,76,SRR11826866/SRR11826866.5562.fq
SRR11826866.5684,75,SRR11826866/SRR11826866.5684.fq
SRR11826866.5692,64,SRR11826866/SRR11826866.5692.fq
SRR11826866.5693,75,SRR11826866/SRR11826866.5693.fq
SRR11826866.5735,76,SRR11826866/SRR11826866.5735.fq
SRR11826866.5753,76,SRR11826866/SRR11826866.5753.fq
SRR11826866.5819,76,SRR11826866/SRR11826866.5819.fq
SRR11826866.5822,76,SRR11826866/SRR11826866.5822.fq
SRR11826866.5827,76,SRR11826866/SRR11826866.5827.fq
SRR11826866.5829,75,SRR11826866/SRR11826866.5829.fq
SRR11826866.5835,75,SRR11826866/SRR11826866.5835.fq
SRR11826866.5882,76,SRR11826866/SRR11826866.5882.fq
SRR11826866.5931,76,SRR11826866/SRR11826866.5931.fq
SRR11826866.5945,76,SRR11826866/SRR11826866.5945.fq
SRR11826866.5951,76,SRR11826866/SRR11826866.5951.fq
SRR11826866.5962,76,SRR11826866/SRR11826866.5962.fq
SRR11826866.5971,76,SRR11826866/SRR11826866.5971.fq
SRR11826866.5980,75,SRR11826866/SRR11826866.5980.fq
SRR11826866.6010,75,SRR11826866/SRR11826866.6010.fq
SRR11826866.6045,76,SRR11826866/SRR11826866.6045.fq
SRR11826866.6053,76,SRR11826866/SRR11826866.6053.fq
SRR11826866.6056,75,SRR11826866/SRR11826866.6056.fq
SRR11826866.6068,76,SRR11826866/SRR11826866.6068.fq
SRR11826866.6118,76,SRR11826866/SRR11826866.6118.fq
SRR11826866.6121,76,SRR11826866/SRR11826866.6121.fq
SRR11826866.6122,76,SRR11826866/SRR11826866.6122.fq
SRR11826866.6150,76,SRR11826866/SRR11826866.6150.fq
SRR11826866.6178,76,SRR11826866/SRR11826866.6178.fq
SRR11826866.6199,75,SRR11826866/SRR11826866.6199.fq
SRR11826866.6239,61,SRR11826866/SRR11826866.6239.fq
SRR11826866.6253,76,SRR11826866/SRR11826866.6253.fq
SRR11826866.6284,73,SRR11826866/SRR11826866.6284.fq
SRR11826866.6325,75,SRR11826866/SRR11826866.6325.fq
