	,name,taxRank,taxID,environment,sampleID,mappingTool
0	0,Clostridiales,order,186802,gut,mga0ky27,centrifuge
1	1,Lactobacillales,order,186826,gut,mga0ky27,centrifuge
0	0,Actinobacteria,class,1760,gut,mga0qa91,centrifuge
0	0,Pseudomonas,genus,286,gut,mga0sm63,centrifuge
1	1,Bacteroides,genus,816,gut,mga0sm63,centrifuge
2	2,Streptococcus,genus,1301,gut,mga0sm63,centrifuge
3	3,Bacillus,genus,1386,gut,mga0sm63,centrifuge
0	0,Escherichia coli,species,562,gut,mga0kv36,centrifuge
1	1,Bacteroides fragilis,species,817,gut,mga0kv36,centrifuge
2	2,Bacteroides thetaiotaomicron,species,818,gut,mga0kv36,centrifuge
3	3,Bacteroides vulgatus,species,821,gut,mga0kv36,centrifuge
4	4,Parabacteroides distasonis,species,823,gut,mga0kv36,centrifuge
5	5,Faecalibacterium prausnitzii,species,853,gut,mga0kv36,centrifuge
6	6,Streptococcus suis,species,1307,gut,mga0kv36,centrifuge
7	7,Blautia hansenii,species,1322,gut,mga0kv36,centrifuge
8	8,Clostridioides difficile,species,1496,gut,mga0kv36,centrifuge
9	9,Bifidobacterium adolescentis,species,1680,gut,mga0kv36,centrifuge
10	10,Bifidobacterium bifidum,species,1681,gut,mga0kv36,centrifuge
11	11,Bifidobacterium breve,species,1685,gut,mga0kv36,centrifuge
12	12,Bifidobacterium catenulatum,species,1686,gut,mga0kv36,centrifuge
13	13,Gardnerella vaginalis,species,2702,gut,mga0kv36,centrifuge
14	14,Bifidobacterium pseudocatenulatum,species,28026,gut,mga0kv36,centrifuge
15	15,Bacteroides heparinolyticus,species,28113,gut,mga0kv36,centrifuge
16	16,Bacteroides ovatus,species,28116,gut,mga0kv36,centrifuge
17	17,Odoribacter splanchnicus,species,28118,gut,mga0kv36,centrifuge
18	18,Bacteroides zoogleoformans,species,28119,gut,mga0kv36,centrifuge
19	19,Prevotella intermedia,species,28131,gut,mga0kv36,centrifuge
20	20,Ornithobacterium rhinotracheale,species,28251,gut,mga0kv36,centrifuge
21	21,[Eubacterium] eligens,species,39485,gut,mga0kv36,centrifuge
22	22,[Eubacterium] hallii,species,39488,gut,mga0kv36,centrifuge
23	23,[Eubacterium] rectale,species,39491,gut,mga0kv36,centrifuge
24	24,Bacteroides caccae,species,47678,gut,mga0kv36,centrifuge
25	25,Collinsella aerofaciens,species,74426,gut,mga0kv36,centrifuge
26	26,[Clostridium] saccharolyticum,species,84030,gut,mga0kv36,centrifuge
27	27,[Clostridium] bolteae,species,208479,gut,mga0kv36,centrifuge
28	28,Alistipes finegoldii,species,214856,gut,mga0kv36,centrifuge
