sample,query,result,results_dir
data/sc2-data/sc2_queries_across_identity/93p/ERR2756788.singleton-fastq/ERR2756788.1074497.2.fq,data/sc2-data/NC_045512.fasta,0,outputs.sourmash-protein.14sryuf5/results.1.1
data/sc2-data/sc2_queries_across_identity/93p/ERR2756788.singleton-fastq/ERR2756788.10975975.2.fq,data/sc2-data/NC_045512.fasta,1,outputs.sourmash-protein.14sryuf5/results.2.1
data/sc2-data/sc2_queries_across_identity/93p/ERR2756788.singleton-fastq/ERR2756788.13119704.2.fq,data/sc2-data/NC_045512.fasta,1,outputs.sourmash-protein.14sryuf5/results.3.1
data/sc2-data/sc2_queries_across_identity/93p/ERR2756788.singleton-fastq/ERR2756788.14480172.2.fq,data/sc2-data/NC_045512.fasta,0,outputs.sourmash-protein.14sryuf5/results.4.1
data/sc2-data/sc2_queries_across_identity/93p/ERR2756788.singleton-fastq/ERR2756788.14812715.2.fq,data/sc2-data/NC_045512.fasta,1,outputs.sourmash-protein.14sryuf5/results.5.1
data/sc2-data/sc2_queries_across_identity/93p/ERR2756788.singleton-fastq/ERR2756788.16491375.2.fq,data/sc2-data/NC_045512.fasta,1,outputs.sourmash-protein.14sryuf5/results.6.1
data/sc2-data/sc2_queries_across_identity/93p/ERR2756788.singleton-fastq/ERR2756788.2711827.1.fq,data/sc2-data/NC_045512.fasta,1,outputs.sourmash-protein.14sryuf5/results.7.1
data/sc2-data/sc2_queries_across_identity/93p/ERR2756788.singleton-fastq/ERR2756788.7654741.2.fq,data/sc2-data/NC_045512.fasta,0,outputs.sourmash-protein.14sryuf5/results.8.1
data/sc2-data/sc2_queries_across_identity/93p/ERR2756788.singleton-fastq/ERR2756788.8102751.2.fq,data/sc2-data/NC_045512.fasta,0,outputs.sourmash-protein.14sryuf5/results.9.1
data/sc2-data/sc2_queries_across_identity/95p/ERR4080688.singleton-fastq/ERR4080688.ERR4080688.14.fq,data/sc2-data/NC_045512.fasta,1,outputs.sourmash-protein.14sryuf5/results.10.1
data/sc2-data/sc2_queries_across_identity/95p/ERR4080688.singleton-fastq/ERR4080688.ERR4080688.16.fq,data/sc2-data/NC_045512.fasta,1,outputs.sourmash-protein.14sryuf5/results.11.1
data/sc2-data/sc2_queries_across_identity/95p/ERR4080688.singleton-fastq/ERR4080688.ERR4080688.2.fq,data/sc2-data/NC_045512.fasta,1,outputs.sourmash-protein.14sryuf5/results.12.1
data/sc2-data/sc2_queries_across_identity/95p/ERR4080688.singleton-fastq/ERR4080688.ERR4080688.5.fq,data/sc2-data/NC_045512.fasta,1,outputs.sourmash-protein.14sryuf5/results.13.1
data/sc2-data/sc2_queries_across_identity/95p/ERR4080688.singleton-fastq/ERR4080688.ERR4080688.6.fq,data/sc2-data/NC_045512.fasta,1,outputs.sourmash-protein.14sryuf5/results.14.1
data/sc2-data/sc2_queries_across_identity/99p/SRR11826866.singleton-fastq/SRR11826866.11830.fq,data/sc2-data/NC_045512.fasta,1,outputs.sourmash-protein.14sryuf5/results.15.1
data/sc2-data/sc2_queries_across_identity/99p/SRR11826866.singleton-fastq/SRR11826866.12588.fq,data/sc2-data/NC_045512.fasta,1,outputs.sourmash-protein.14sryuf5/results.16.1
data/sc2-data/sc2_queries_across_identity/99p/SRR11826866.singleton-fastq/SRR11826866.2385.fq,data/sc2-data/NC_045512.fasta,1,outputs.sourmash-protein.14sryuf5/results.17.1
data/sc2-data/sc2_queries_across_identity/99p/SRR11826866.singleton-fastq/SRR11826866.4451.fq,data/sc2-data/NC_045512.fasta,1,outputs.sourmash-protein.14sryuf5/results.18.1
data/sc2-data/sc2_queries_across_identity/99p/SRR11826866.singleton-fastq/SRR11826866.5395.fq,data/sc2-data/NC_045512.fasta,1,outputs.sourmash-protein.14sryuf5/results.19.1
data/sc2-data/sc2_queries_across_identity/99p/SRR11826866.singleton-fastq/SRR11826866.830.fq,data/sc2-data/NC_045512.fasta,1,outputs.sourmash-protein.14sryuf5/results.20.1
data/sc2-data/sc2_queries_across_identity/99p/SRR11826866.singleton-fastq/SRR11826866.9688.fq,data/sc2-data/NC_045512.fasta,1,outputs.sourmash-protein.14sryuf5/results.21.1
