query,sample,present
SRR11826866.18,NC_045512,yes
SRR11826866.23,NC_045512,yes
SRR11826866.47,NC_045512,yes
SRR11826866.56,NC_045512,yes
SRR11826866.95,NC_045512,yes
SRR11826866.150,NC_045512,yes
SRR11826866.168,NC_045512,yes
SRR11826866.175,NC_045512,yes
SRR11826866.187,NC_045512,yes
SRR11826866.204,NC_045512,yes
SRR11826866.210,NC_045512,yes
SRR11826866.235,NC_045512,yes
SRR11826866.244,NC_045512,yes
SRR11826866.284,NC_045512,yes
SRR11826866.287,NC_045512,yes
SRR11826866.388,NC_045512,yes
SRR11826866.454,NC_045512,yes
SRR11826866.456,NC_045512,yes
SRR11826866.465,NC_045512,yes
SRR11826866.527,NC_045512,yes
SRR11826866.570,NC_045512,yes
SRR11826866.617,NC_045512,yes
SRR11826866.618,NC_045512,yes
SRR11826866.750,NC_045512,yes
SRR11826866.763,NC_045512,yes
SRR11826866.785,NC_045512,yes
SRR11826866.793,NC_045512,yes
SRR11826866.797,NC_045512,yes
SRR11826866.830,NC_045512,yes
SRR11826866.886,NC_045512,yes
SRR11826866.899,NC_045512,yes
SRR11826866.936,NC_045512,yes
SRR11826866.1034,NC_045512,yes
SRR11826866.1072,NC_045512,yes
SRR11826866.1084,NC_045512,yes
SRR11826866.1102,NC_045512,yes
SRR11826866.1112,NC_045512,yes
SRR11826866.1137,NC_045512,yes
SRR11826866.1217,NC_045512,yes
SRR11826866.1242,NC_045512,yes
SRR11826866.1273,NC_045512,yes
SRR11826866.1286,NC_045512,yes
SRR11826866.1296,NC_045512,yes
SRR11826866.1330,NC_045512,yes
SRR11826866.1413,NC_045512,yes
SRR11826866.1418,NC_045512,yes
SRR11826866.1437,NC_045512,yes
SRR11826866.1456,NC_045512,yes
SRR11826866.1470,NC_045512,yes
SRR11826866.1580,NC_045512,yes
SRR11826866.1583,NC_045512,yes
SRR11826866.1589,NC_045512,yes
SRR11826866.1618,NC_045512,yes
SRR11826866.1656,NC_045512,yes
SRR11826866.1698,NC_045512,yes
SRR11826866.1757,NC_045512,yes
SRR11826866.1780,NC_045512,yes
SRR11826866.1810,NC_045512,yes
SRR11826866.1834,NC_045512,yes
SRR11826866.1842,NC_045512,yes
SRR11826866.1854,NC_045512,yes
SRR11826866.1897,NC_045512,yes
SRR11826866.1937,NC_045512,yes
SRR11826866.1949,NC_045512,yes
SRR11826866.1959,NC_045512,yes
SRR11826866.2036,NC_045512,yes
SRR11826866.2040,NC_045512,yes
SRR11826866.2097,NC_045512,yes
SRR11826866.2116,NC_045512,yes
SRR11826866.2122,NC_045512,yes
SRR11826866.2128,NC_045512,yes
SRR11826866.2239,NC_045512,yes
SRR11826866.2300,NC_045512,yes
SRR11826866.2335,NC_045512,yes
SRR11826866.2338,NC_045512,yes
SRR11826866.2367,NC_045512,yes
SRR11826866.2385,NC_045512,yes
SRR11826866.2404,NC_045512,yes
SRR11826866.2425,NC_045512,yes
SRR11826866.2438,NC_045512,yes
SRR11826866.2449,NC_045512,yes
SRR11826866.2481,NC_045512,yes
SRR11826866.2516,NC_045512,yes
SRR11826866.2540,NC_045512,yes
SRR11826866.2579,NC_045512,yes
SRR11826866.2599,NC_045512,yes
SRR11826866.2670,NC_045512,yes
SRR11826866.2694,NC_045512,yes
SRR11826866.2699,NC_045512,yes
SRR11826866.2730,NC_045512,yes
SRR11826866.2746,NC_045512,yes
SRR11826866.2803,NC_045512,yes
SRR11826866.2898,NC_045512,yes
SRR11826866.2933,NC_045512,yes
SRR11826866.2975,NC_045512,yes
SRR11826866.3007,NC_045512,yes
SRR11826866.3015,NC_045512,yes
SRR11826866.3029,NC_045512,yes
SRR11826866.3038,NC_045512,yes
SRR11826866.3040,NC_045512,yes
SRR11826866.3049,NC_045512,yes
SRR11826866.3050,NC_045512,yes
SRR11826866.3053,NC_045512,yes
SRR11826866.3080,NC_045512,yes
SRR11826866.3113,NC_045512,yes
SRR11826866.3124,NC_045512,yes
SRR11826866.3146,NC_045512,yes
SRR11826866.3162,NC_045512,yes
SRR11826866.3184,NC_045512,yes
SRR11826866.3189,NC_045512,yes
SRR11826866.3201,NC_045512,yes
SRR11826866.3202,NC_045512,yes
SRR11826866.3294,NC_045512,yes
SRR11826866.3304,NC_045512,yes
SRR11826866.3329,NC_045512,yes
SRR11826866.3337,NC_045512,yes
SRR11826866.3367,NC_045512,yes
SRR11826866.3368,NC_045512,yes
SRR11826866.3373,NC_045512,yes
SRR11826866.3375,NC_045512,yes
SRR11826866.3433,NC_045512,yes
SRR11826866.3437,NC_045512,yes
SRR11826866.3452,NC_045512,yes
SRR11826866.3459,NC_045512,yes
SRR11826866.3481,NC_045512,yes
SRR11826866.3510,NC_045512,yes
SRR11826866.3544,NC_045512,yes
SRR11826866.3582,NC_045512,yes
SRR11826866.3595,NC_045512,yes
SRR11826866.3669,NC_045512,yes
SRR11826866.3672,NC_045512,yes
SRR11826866.3710,NC_045512,yes
SRR11826866.3726,NC_045512,yes
SRR11826866.3736,NC_045512,yes
SRR11826866.3737,NC_045512,yes
SRR11826866.3740,NC_045512,yes
SRR11826866.3855,NC_045512,yes
SRR11826866.3861,NC_045512,yes
SRR11826866.3872,NC_045512,yes
SRR11826866.3905,NC_045512,yes
SRR11826866.3993,NC_045512,yes
SRR11826866.3995,NC_045512,yes
SRR11826866.4035,NC_045512,yes
SRR11826866.4045,NC_045512,yes
SRR11826866.4049,NC_045512,yes
SRR11826866.4100,NC_045512,yes
